genome	organism	contigs	bases	tRNA	rRNA	CDS	tmRNA	repeat_region	OriginalName	Study_set	GenomeType	Sample_accession	Country	Continent	Host	Source	Disease	SamplingDate	Latitude	Longtitude	contigs_0_bp	contigs_1000_bp	contigs_5000_bp	contigs_10000_bp	contigs_25000_bp	contigs_50000_bp	Total_length_0_bp	Total_length_1000_bp	Total_length_5000_bp	Total_length_10000_bp	Total_length_25000_bp	Total_length_50000_bp	N_contigs	Largestcontig	Total_length	GC	N50	N75	L50	L75	Ns_per_100_kbp	Marker_lineage	Completeness	Contamination	Strain_heterogeneity	subdivision	lineages	letter	color
3101436	Bacteroides	54	4873329	53	NA	4031	1	1	GUT_GENOME106590	UHGG	MAG	SAMN03398792	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	54	54	51	50	40	28	4873329	4873329	4865233	4857679	4668151	4229057	54	379017	4873329	43.31	155777	89480	10	19	0	o__Bacteroidales_(UID2657)	97.06	0.12	0	1	lineage I	I	#7bccbc
bgi_N037A	Bacteroides	176	5256864	67	NA	4398	3	2	GUT_GENOME228260	UHGG	MAG	SAMN00791943	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	176	176	104	85	57	35	5256864	5256864	5087906	4951257	4508355	3706943	176	367540	5256864	43.18	78831	41709	19	41	0	o__Bacteroidales_(UID2657)	90.17	3.99	20	1	lineage K	K	#7f74d2
G78568	Bacteroides	156	5028663	61	3	4112	2	NA	GUT_GENOME222904	UHGG	MAG	SAMN05826643	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	156	156	138	116	73	33	5028663	5028663	4964197	4803436	4049282	2608157	156	160760	5028663	43.38	51772	29618	32	63	0	o__Bacteroidales_(UID2657)	98.51	0.12	0	1	lineage K	K	#7f74d2
G78676	Bacteroides	254	5510302	58	2	4629	1	NA	GUT_GENOME223266	UHGG	MAG	SAMN05826741	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	254	254	216	161	68	25	5510302	5510302	5366545	4975343	3552941	2037506	254	130720	5510302	43.86	37407	16214	42	96	0	o__Bacteroidales_(UID2657)	98.51	1.12	0	1	lineage K	K	#7f74d2
G78794	Bacteroides	58	4963766	58	NA	4043	2	NA	GUT_GENOME182627	UHGG	MAG	SAMN05826822	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	58	58	52	47	40	31	4963766	4963766	4939034	4900269	4773429	4442145	58	454975	4963766	43.39	145337	80240	10	20	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage K	K	#7f74d2
G78795	Bacteroides	78	4932960	57	5	4031	2	NA	GUT_GENOME223542	UHGG	MAG	SAMN05826823	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	78	78	63	55	42	34	4932960	4932960	4896487	4839097	4647640	4354207	78	279296	4932960	43.4	138631	85136	13	25	0	o__Bacteroidales_(UID2657)	92.94	0	0	1	lineage K	K	#7f74d2
GUT_GENOME261739	Bacteroides	71	5141801	48	NA	4236	1	NA	GUT_GENOME261739	UHGG	MAG	NA	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	71	71	58	53	39	30	5141801	5141801	5103010	5069061	4832280	4482943	71	450530	5141801	43.28	147719	95002	11	21	0	o__Bacteroidales_(UID2657)	98.15	0.5	50	1	lineage K	K	#7f74d2
GUT_GENOME147955	Bacteroides	66	4929778	50	NA	4057	2	NA	GUT_GENOME147955	UHGG	MAG	NA	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	66	66	60	52	42	29	4929778	4929778	4908951	4848267	4695940	4221211	66	375117	4929778	43.48	141260	93814	11	21	0	o__Bacteroidales_(UID2657)	97.56	1.86	57.14	1	lineage K	K	#7f74d2
G69174	Bacteroides	164	4985944	77	13	4247	1	NA	GUT_GENOME223216	UHGG	MAG	SAMN05826510	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	164	164	118	96	66	33	4985944	4985944	4881856	4732225	4196026	3023366	164	165583	4985944	43.62	63483	33636	24	50	0	o__Bacteroidales_(UID2657)	92.32	2.45	0	1	lineage K	K	#7f74d2
G78646	Bacteroides	356	4956040	48	2	4055	2	NA	GUT_GENOME240582	UHGG	MAG	SAMN05826714	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	356	356	278	183	53	6	4956040	4956040	4693416	4003064	1871484	342714	356	63060	4956040	43.24	20433	12227	80	157	0	o__Bacteroidales_(UID2657)	97.27	0.71	75	1	lineage K	K	#7f74d2
G80389	Bacteroides	361	4722136	37	1	3827	NA	NA	GUT_GENOME184422	UHGG	MAG	SAMN05827053	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	361	361	280	182	45	2	4722136	4722136	4461106	3746228	1530616	152651	361	86150	4722136	43.47	18873	11474	84	163	0	o__Bacteroidales_(UID2657)	94.36	2.11	33.33	1	lineage K	K	#7f74d2
apr38S00	Bacteroides	95	4970812	64	6	4089	2	NA	GUT_GENOME027856	UHGG	MAG	SAMD00036434	Japan	Asia	Homo sapiens	NA	NA	NA	NA	NA	95	95	84	75	58	39	4970812	4970812	4936531	4863877	4573404	3841831	95	409515	4970812	43.28	79474	51916	18	37	0	o__Bacteroidales_(UID2657)	99.26	0.9	14.29	1	lineage L	L	#0016b4
228_700103710	Bacteroides	129	4924505	56	5	4055	1	NA	GUT_GENOME215538	UHGG	MAG	SAMN00063420	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	129	129	74	61	48	36	4924505	4924505	4818432	4729710	4520051	4060958	129	329610	4924505	43.3	108235	61703	13	30	0	o__Bacteroidales_(UID2657)	96.03	0.19	0	1	lineage L	L	#0016b4
G80376	Bacteroides	53	5106659	61	3	4211	1	NA	GUT_GENOME225473	UHGG	MAG	SAMN05827040	Estonia	Europe	Homo sapiens	NA	NA	NA	NA	NA	53	53	50	44	39	28	5106659	5106659	5100562	5060174	4986625	4546920	53	509517	5106659	43.4	193105	105384	9	18	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage L	L	#0016b4
G80290	Bacteroides	161	5036137	43	NA	4114	1	NA	GUT_GENOME241417	UHGG	MAG	SAMN05826958	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	161	161	130	108	71	34	5036137	5036137	4947714	4790170	4158182	2734815	161	164710	5036137	43.36	54989	35164	30	58	0	o__Bacteroidales_(UID2657)	98.92	0	0	1	lineage L	L	#0016b4
G80518	Bacteroides	353	5116769	44	NA	4226	1	1	GUT_GENOME242551	UHGG	MAG	SAMN05827177	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	353	353	236	157	65	15	5116769	5116769	4780250	4211087	2723603	1011902	353	94736	5116769	43.14	26714	13692	59	126	0	o__Bacteroidales_(UID2657)	98.37	0.01	100	1	lineage L	L	#0016b4
A7_UDC12_2_	Bacteroides	87	5201070	72	8	4245	1	1	GUT_GENOME141450	UHGG	Isolate	SAMN02314413	Thailand	Asia	Homo sapiens	NA	NA	NA	NA	NA	87	82	44	38	35	27	5201070	5197718	5110824	5067189	5015364	4750178	85	897750	5200192	43.17	198514	103142	7	16	0	o__Bacteroidales_(UID2657)	99.26	0.58	100	1	lineage L	L	#0016b4
G80313	Bacteroides	103	4994479	40	NA	4101	1	NA	GUT_GENOME241548	UHGG	MAG	SAMN05826980	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	103	103	82	74	59	42	4994479	4994479	4942192	4880319	4639867	3986676	103	259129	4994479	43.34	86697	52271	19	38	0	o__Bacteroidales_(UID2657)	96.89	0	0	1	lineage L	L	#0016b4
I1345	Bacteroides	76	5317743	70	8	4373	1	NA	GCA_000598785.2_ASM59878v2_genomic.fna	Genbank	Isolate	SAMN02314404	NA	NA	NA	NA	NA	NA	NA	NA	76	65	41	39	37	26	5317743	5311458	5256258	5242001	5215016	4800934	71	609336	5315844	43.52	215678	101173	7	15	0	o__Bacteroidales_(UID2657)	98.88	0.19	100	1	lineage L	L	#0016b4
G69233	Bacteroides	522	4312706	38	NA	3405	1	NA	GUT_GENOME240035	UHGG	MAG	SAMN05826567	Estonia	Europe	Homo sapiens	NA	NA	NA	NA	NA	522	522	287	133	25	3	4312706	4312706	3572945	2506807	810511	165340	522	56743	4312706	43.95	12549	6317	102	226	0	o__Bacteroidales_(UID2657)	93.61	0	0	1	lineage L	L	#0016b4
G80282	Bacteroides	588	4551016	32	NA	3608	1	NA	GUT_GENOME241364	UHGG	MAG	SAMN05826951	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	588	588	297	148	20	1	4551016	4551016	3675743	2618714	685107	51364	588	51364	4551016	43.38	12028	6089	117	251	0	o__Bacteroidales_(UID2657)	91.3	0.07	0	1	lineage L	L	#0016b4
GUT_GENOME104644	Bacteroides	40	4533552	53	NA	3753	2	1	GUT_GENOME104644	UHGG	MAG	SAMEA1906542	Sweden	Europe	Homo sapiens	faeces	NA	NA	NA	NA	40	40	37	34	30	25	4533552	4533552	4527015	4504116	4423443	4229903	40	443543	4533552	43.64	186476	122466	8	15	0	o__Bacteroidales_(UID2657)	91.45	0	0	1	lineage L	L	#0016b4
228_700023845	Bacteroides	152	4830088	24	NA	3933	NA	NA	GUT_GENOME100988	UHGG	MAG	SAMN00036408	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	152	152	134	115	63	31	4830088	4830088	4780635	4627600	3784410	2565955	152	120337	4830088	43.2	58180	31709	29	58	0	o__Bacteroidales_(UID2657)	94.38	1.12	66.67	1	lineage L	L	#0016b4
M1_10_ST	Bacteroides	75	5105544	47	NA	4179	1	2	GUT_GENOME011100	UHGG	MAG	SAMN02333996	Fiji	Oceania	Homo sapiens	faeces	NA	NA	NA	NA	75	75	58	46	37	30	5105544	5105544	5054249	4977827	4844947	4598839	75	623215	5105544	43.04	155502	84215	8	19	0	o__Bacteroidales_(UID2657)	98.2	0	0	1	lineage L	L	#0016b4
G80532	Bacteroides	102	4967534	44	NA	4105	1	1	GUT_GENOME242611	UHGG	MAG	SAMN05827190	Estonia	Europe	Homo sapiens	NA	NA	NA	NA	NA	102	102	92	81	62	39	4967534	4967534	4939620	4857695	4513895	3712650	102	232075	4967534	43.41	78350	48936	20	40	0	o__Bacteroidales_(UID2657)	98.62	1.67	0	1	lineage M	M	#492f74
G80556	Bacteroides	409	4899676	38	NA	4096	1	3	GUT_GENOME242726	UHGG	MAG	SAMN05827210	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	409	409	319	199	36	1	4899676	4899676	4612683	3706273	1204429	55876	409	55876	4899676	42.92	16345	10175	99	196	0	o__Bacteroidales_(UID2657)	98.08	0.66	75	1	lineage M	M	#492f74
1007_1_F_8	Bacteroides	315	5492693	92	12	4643	1	4	GCA_000598265.1_ASM59826v1_genomic.fna	Genbank	Isolate	SAMN02314432	NA	NA	NA	NA	NA	NA	NA	NA	315	253	161	131	76	29	5492693	5458150	5251238	5033063	4117476	2444818	286	166043	5481195	43.23	44035	25371	36	76	0	o__Bacteroidales_(UID2657)	99.26	1.05	80	1	lineage M	M	#492f74
T1G	Bacteroides	129	5015696	46	3	4163	1	2	GUT_GENOME181649	UHGG	MAG	SAMN05578591	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	129	129	113	90	65	35	5015696	5015696	4966200	4805844	4358044	3196387	129	252683	5015696	43.15	67625	41101	24	48	0	o__Bacteroidales_(UID2657)	98.77	2.86	21.43	1	lineage M	M	#492f74
1007_1_F_5	Bacteroides	157	5491552	93	9	4658	1	2	GCA_000601035.1_ASM60103v1_genomic.fna	Genbank	Isolate	SAMN02315076	NA	NA	NA	NA	NA	NA	NA	NA	157	132	94	82	59	42	5491552	5478577	5388919	5308653	4924620	4322531	145	326416	5486951	43.32	93690	55303	19	39	0	o__Bacteroidales_(UID2657)	99.26	0.56	0	1	lineage M	M	#492f74
1007_1_F_9	Bacteroides	66	5521232	92	12	4684	1	2	GCA_000598885.1_ASM59888v1_genomic.fna	Genbank	Isolate	SAMN02314433	NA	NA	NA	NA	NA	NA	NA	NA	66	63	38	37	32	28	5521232	5519491	5457721	5451664	5376395	5232603	64	818835	5520411	43.24	212634	108506	6	15	0	o__Bacteroidales_(UID2657)	99.26	0.93	33.33	1	lineage M	M	#492f74
1007_1_F_7	Bacteroides	130	5552947	94	14	4718	1	2	GCA_000599145.2_ASM59914v2_genomic.fna	Genbank	Isolate	SAMN02314431	NA	NA	NA	NA	NA	NA	NA	NA	130	115	71	60	44	35	5552947	5545176	5440739	5355824	5113414	4793477	122	423731	5549782	43.23	167179	76468	12	25	0	o__Bacteroidales_(UID2657)	99.26	0.56	0	1	lineage M	M	#492f74
F20_136_BF_D7	Bacteroides	21	5516936	66	6	4712	3	2	GUT_GENOME000482	UHGG	Isolate	SAMEA104428434	United Kingdom	Europe	Homo sapiens	NA	NA	NA	NA	NA	21	15	13	13	12	11	5516936	5514507	5509563	5509563	5487031	5454196	16	1436829	5515190	43.79	1364615	616172	2	4	1.81	o__Bacteroidales_(UID2657)	99.26	0.12	0	1	lineage M	M	#492f74
1007_1_F_10	Bacteroides	84	5543466	84	11	4703	1	2	GUT_GENOME141459	UHGG	Isolate	SAMN02314435	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	84	76	40	37	31	30	5543466	5538542	5460288	5440431	5333009	5285225	80	821616	5541675	43.25	211815	130190	8	17	0	o__Bacteroidales_(UID2657)	99.26	0.56	0	1	lineage M	M	#492f74
1007_1_F_6	Bacteroides	87	5602624	90	18	4754	1	2	GCA_000601095.1_ASM60109v1_genomic.fna	Genbank	Isolate	SAMN02315077	NA	NA	NA	NA	NA	NA	NA	NA	87	82	46	40	33	29	5602624	5598828	5505208	5465056	5359975	5223091	86	798744	5602130	43.19	193412	130296	9	17	0	o__Bacteroidales_(UID2657)	99.26	0.56	0	1	lineage M	M	#492f74
1007_1_F_4	Bacteroides	167	5413386	88	5	4574	1	2	GCA_000598545.2_ASM59854v2_genomic.fna	Genbank	Isolate	SAMN02315075	NA	NA	NA	NA	NA	NA	NA	NA	167	142	80	68	50	38	5413386	5398441	5271889	5174757	4857832	4392482	156	441791	5409011	43.04	121404	58183	14	32	0	o__Bacteroidales_(UID2657)	99.26	0.95	83.33	1	lineage M	M	#492f74
MSK_7_6	Bacteroides	193	5466558	61	3	4603	1	1	GCA_019041875.1_NA_genomic.fna	Genbank	Isolate	SAMN19732205	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	170	103	66	53	46	36	5466060	5428573	5348825	5257704	5133628	4731130	138	456282	5453915	43.26	135987	74201	13	26	0	o__Bacteroidales_(UID2657)	99.26	0.12	0	1	lineage N	N	#b84ccb
G78914	Bacteroides	289	5028858	26	NA	4128	NA	NA	GUT_GENOME183017	UHGG	MAG	SAMN05826931	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	289	289	232	164	69	13	5028858	5028858	4836589	4333865	2791042	873636	289	101922	5028858	43.51	26453	15298	59	119	0	o__Bacteroidales_(UID2657)	94.11	0.31	0	1	lineage N	N	#b84ccb
G78605	Bacteroides	354	5298750	51	NA	4427	2	1	GUT_GENOME223045	UHGG	MAG	SAMN05826678	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	354	354	271	180	59	11	5298750	5298750	4989164	4344143	2398437	728357	354	123129	5298750	43.1	22046	12207	70	148	0	o__Bacteroidales_(UID2657)	98.29	0.31	50	1	lineage N	N	#b84ccb
G80158	Bacteroides	93	4966782	44	2	4053	1	1	GUT_GENOME183025	UHGG	MAG	SAMN05826933	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	93	93	89	82	64	36	4966782	4966782	4952773	4900168	4615303	3580878	93	223154	4966782	43.36	80951	48409	19	39	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage N	N	#b84ccb
G78583	Bacteroides	27	5543063	56	NA	4673	2	1	GUT_GENOME182070	UHGG	MAG	SAMN05826657	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	27	27	26	25	22	20	5543063	5543063	5540072	5532382	5480397	5396021	27	798841	5543063	43.54	455211	155117	5	10	0	o__Bacteroidales_(UID2657)	97.4	0.19	0	1	lineage N	N	#b84ccb
BFBE1	Bacteroides	1	5188967	73	18	4217	1	1	GCA_001286525.1_BFBE1.1_genomic.fna	Genbank	Isolate	SAMEA3501569	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	5188967	5188967	5188967	5188967	5188967	5188967	1	5188967	5188967	43.09	5188967	5188967	1	1	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage N	N	#b84ccb
MSK_7_8	Bacteroides	144	5193175	61	3	4296	1	1	GCA_019130425.1_ASM1913042v1_genomic.fna	Genbank	Isolate	SAMN19732207	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	193	117	75	62	54	39	5466558	5424199	5340575	5252658	5109709	4557323	156	456282	5451927	43.25	134498	60569	15	31	0	o__Bacteroidales_(UID2657)	99.26	0.37	0	1	lineage O	O	#cf9cb3
S24L34	Bacteroides	65	5249753	69	7	4326	1	2	GCA_000599325.1_ASM59932v1_genomic.fna	Genbank	Isolate	SAMN02315064	NA	NA	NA	NA	NA	NA	NA	NA	65	60	37	35	29	27	5249753	5247262	5196165	5182596	5095692	5011086	62	780956	5248667	43.12	260420	147993	6	13	0	o__Bacteroidales_(UID2657)	99.26	0.56	50	1	lineage O	O	#cf9cb3
S24L26	Bacteroides	72	5273785	75	10	4324	1	2	GCA_000598745.1_ASM59874v1_genomic.fna	Genbank	Isolate	SAMN02314565	NA	NA	NA	NA	NA	NA	NA	NA	72	70	34	32	27	25	5273785	5272666	5182556	5167190	5092963	5019631	71	726158	5273325	43.11	286209	147993	7	14	0	o__Bacteroidales_(UID2657)	98.88	0.19	0	1	lineage O	O	#cf9cb3
S24L15	Bacteroides	147	5239256	77	11	4303	1	2	GCA_000599005.1_ASM59900v1_genomic.fna	Genbank	Isolate	SAMN02314564	NA	NA	NA	NA	NA	NA	NA	NA	147	128	84	65	53	32	5239256	5227629	5112472	4980084	4794883	4051033	141	422931	5237134	43.23	124735	51040	14	30	0	o__Bacteroidales_(UID2657)	99.26	0.19	0	1	lineage O	O	#cf9cb3
MSK_16_58	Bacteroides	170	5386214	64	5	4449	1	1	GCA_015669435.1_ASM1566943v1_genomic.fna	Genbank	Isolate	SAMN19731924	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	145	81	55	50	40	33	5193048	5159636	5101952	5063612	4906506	4636339	111	431792	5179742	43.53	187080	88307	10	21	0	o__Bacteroidales_(UID2657)	99.26	3.91	3500	1	lineage O	O	#cf9cb3
MSK_8_18	Bacteroides	145	5193048	61	3	4299	1	1	GCA_019130335.1_ASM1913033v1_genomic.fna	Genbank	Isolate	SAMN19732211	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	171	108	65	53	46	37	5466466	5430487	5338457	5257517	5137020	4783078	143	456282	5455891	43.26	144876	74382	13	26	0	o__Bacteroidales_(UID2657)	99.26	0.37	0	1	lineage O	O	#cf9cb3
30011_ST_1y_1	Bacteroides	34	4914653	62	NA	4095	1	1	GUT_GENOME225828	UHGG	MAG	SAMN00690846	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	34	34	34	34	30	25	4914653	4914653	4914653	4914653	4847906	4649271	34	568362	4914653	43.53	303840	127330	6	14	0	o__Bacteroidales_(UID2657)	97.03	0	0	1	lineage O	O	#cf9cb3
3103736	Bacteroides	74	4848713	45	NA	3933	1	2	GUT_GENOME172799	UHGG	MAG	SAMN03398867	Estonia	Europe	Homo sapiens	NA	NA	NA	NA	NA	74	74	71	66	55	32	4848713	4848713	4839923	4801400	4589210	3717922	74	298432	4848713	43.27	100285	60037	15	31	0	o__Bacteroidales_(UID2657)	96.69	0.19	0	1	lineage O	O	#cf9cb3
11961_ST_5m_1	Bacteroides	96	4820354	51	11	4027	1	1	GUT_GENOME231308	UHGG	MAG	SAMN00990371	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	96	96	53	48	35	23	4820354	4820354	4722090	4692514	4483040	4022391	96	517919	4820354	43.64	267473	76163	6	17	0	o__Bacteroidales_(UID2657)	90.91	0	0	1	lineage O	O	#cf9cb3
D15_sc_1712178	Bacteroides	18	4857805	60	3	3964	1	1	GUT_GENOME000033	UHGG	Isolate	SAMEA2393014	United Kingdom	Europe	Homo sapiens	NA	NA	NA	NA	NA	18	17	16	14	14	13	4857805	4857346	4853460	4842315	4842315	4815725	17	999609	4857346	43.4	488091	399576	4	7	82.64	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage P	P	#cc4d8e
bgi_V1_UC_15	Bacteroides	77	4887717	53	1	4044	1	2	GUT_GENOME029064	UHGG	MAG	SAMEA728649	Spain	Europe	Homo sapiens	faeces	NA	NA	NA	NA	77	77	70	61	51	35	4887717	4887717	4861279	4803183	4640196	4050046	77	282612	4887717	43.37	104382	65374	15	29	0	o__Bacteroidales_(UID2657)	99.13	0.87	0	1	lineage P	P	#cc4d8e
GCA_000434095	Bacteroides	118	4457568	38	NA	3618	1	1	GCA_000434095.1_MGS47_genomic.fna	Genbank	MAG	SAMEA3138592	NA	NA	Homo sapiens	faeces	NA	NA	NA	NA	118	110	78	66	50	27	4457568	4452162	4366123	4279127	4007498	3144514	118	274269	4457568	43.57	88471	46831	14	32	72.75	o__Bacteroidales_(UID2657)	97.86	0	0	1	lineage P	P	#cc4d8e
3988_T1	Bacteroides	462	5349243	70	9	4419	1	1	GCA_000598205.1_ASM59820v1_genomic.fna	Genbank	Isolate	SAMN02314428	NA	NA	NA	NA	NA	NA	NA	NA	462	307	140	108	70	34	5349243	5259594	4868614	4643002	4069098	2790698	396	188077	5322834	43.46	57260	26478	32	67	0	o__Bacteroidales_(UID2657)	99.26	0.02	100	1	lineage P	P	#cc4d8e
3988T_B_14	Bacteroides	408	5190460	103	7	4288	1	2	GCA_000598365.1_ASM59836v1_genomic.fna	Genbank	Isolate	SAMN02314558	NA	NA	NA	NA	NA	NA	NA	NA	408	300	168	121	59	28	5190460	5126715	4813905	4495474	3538486	2382176	359	188232	5170266	43.46	46575	18632	33	75	0	o__Bacteroidales_(UID2657)	97.77	0.74	100	1	lineage P	P	#cc4d8e
FDAARGOS_1225	Bacteroides	4	5293163	73	19	4415	1	2	GCA_016623685.1_ASM1662368v1_genomic.fna	Genbank	Isolate	SAMN16357367	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	2	2	2	2	2	2	5248938	5248938	5248938	5248938	5248938	5248938	2	5150703	5248938	43.21	5150703	5150703	1	1	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage Q	Q	#672c41
G69155	Bacteroides	328	4889912	49	NA	4006	1	1	GUT_GENOME239844	UHGG	MAG	SAMN05826494	Estonia	Europe	Homo sapiens	NA	NA	NA	NA	NA	328	328	267	181	58	5	4889912	4889912	4696580	4078102	2080220	284789	328	68656	4889912	43.35	22621	12765	74	145	0	o__Bacteroidales_(UID2657)	96.93	0.56	0	1	lineage Q	Q	#672c41
3107345	Bacteroides	38	5046208	59	NA	4150	1	2	GUT_GENOME172216	UHGG	MAG	SAMN03398849	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	38	38	38	37	34	26	5046208	5046208	5046208	5040585	5006414	4662202	38	567271	5046208	43.28	195411	126667	8	15	0	o__Bacteroidales_(UID2657)	99.26	0.12	0	1	lineage Q	Q	#672c41
G80297	Bacteroides	187	4931149	59	1	4044	1	1	GUT_GENOME241466	UHGG	MAG	SAMN05826965	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	187	187	157	130	80	31	4931149	4931149	4839532	4628883	3745588	2017784	187	92332	4931149	43.22	44226	25810	41	79	0	o__Bacteroidales_(UID2657)	98.3	0	0	1	lineage Q	Q	#672c41
3113831	Bacteroides	343	5020463	55	NA	4136	1	2	GUT_GENOME171767	UHGG	MAG	SAMN03399942	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	343	343	254	163	55	12	5020463	5020463	4728670	4060291	2367326	804905	343	85425	5020463	43.11	23325	11955	61	136	0	o__Bacteroidales_(UID2657)	98.75	0.5	0	1	lineage Q	Q	#672c41
3112359	Bacteroides	61	4868074	40	NA	3995	1	1	GUT_GENOME107105	UHGG	MAG	SAMN03398637	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	61	61	57	55	47	37	4868074	4868074	4854285	4839397	4717795	4339613	61	278384	4868074	43.37	131754	75864	13	26	0	o__Bacteroidales_(UID2657)	93.32	1.61	57.14	1	lineage Q	Q	#672c41
ATCC_25285	Bacteroides	58	5210800	65	3	4328	1	2	GCA_001997325.1_ASM199732v1_genomic.fna	Genbank	Isolate	SAMN05721783	NA	NA	NA	NA	NA	NA	NA	NA	58	43	35	34	29	27	5210800	5205554	5183810	5176491	5107766	5039919	44	600562	5206101	43.1	272812	166152	7	13	1.69	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage Q	Q	#672c41
A39_02_1FE	Bacteroides	39	5019571	54	1	4109	1	2	GUT_GENOME018103	UHGG	MAG	SAMN09781728	Madagascar	Africa	Homo sapiens	faeces	NA	NA	NA	NA	39	39	34	33	31	29	5019571	5019571	5007218	4998693	4962092	4881684	39	505761	5019571	43.07	269571	119302	7	14	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage Q	Q	#672c41
G78669	Bacteroides	213	4859937	42	NA	3917	1	2	GUT_GENOME182333	UHGG	MAG	SAMN05826735	Estonia	Europe	Homo sapiens	NA	NA	NA	NA	NA	213	213	163	131	63	27	4859937	4859937	4690165	4456133	3332019	1995520	213	163208	4859937	43.28	42264	21222	37	77	0	o__Bacteroidales_(UID2657)	96.59	0	0	1	lineage Q	Q	#672c41
3113834	Bacteroides	327	4677293	46	1	3847	1	NA	GUT_GENOME172584	UHGG	MAG	SAMN03398953	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	327	327	232	152	61	10	4677293	4677293	4372627	3804956	2381258	628779	327	77623	4677293	43.4	25357	12741	60	126	0	o__Bacteroidales_(UID2657)	93.5	2.28	13.33	1	lineage Q	Q	#672c41
G69185	Bacteroides	209	5279408	60	7	4397	1	2	GUT_GENOME223575	UHGG	MAG	SAMN05826521	Estonia	Europe	Homo sapiens	NA	NA	NA	NA	NA	209	209	140	108	71	34	5279408	5279408	5111951	4880521	4277970	2946140	209	210172	5279408	43.44	57425	31289	29	60	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage Q	Q	#672c41
SKBSTL009	Bacteroides	143	5003520	32	1	4081	3	3	GUT_GENOME167155	UHGG	MAG	SAMN02674965	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	143	143	124	105	71	33	5003520	5003520	4940349	4810132	4231245	2911700	143	170240	5003520	42.93	55373	31146	26	55	0	o__Bacteroidales_(UID2657)	97.86	0.12	0	1	origin	origin	#c9c493
G78526	Bacteroides	55	5018251	65	2	4151	1	1	GUT_GENOME181852	UHGG	MAG	SAMN05826605	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	55	55	52	50	41	29	5018251	5018251	5007946	4994394	4845796	4396183	55	540695	5018251	43.06	181283	81242	10	20	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
MSK_16_53	Bacteroides	95	4942533	59	5	4045	1	NA	GCA_015831745.1_ASM1583174v1_genomic.fna	Genbank	Isolate	SAMN19731921	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	144	81	54	50	40	33	5193175	5160113	5101345	5072786	4915680	4655320	111	431792	5180220	43.53	210168	68248	9	21	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
